file	width	height
VGM001000226_02_n	1134	885
VGM001000227_01_n	1137	888
VGM001000227_02_n	1133	885
VGM001000228_01_n	1140	888
VGM001000228_02_n	1138	888
VGM001000229_01_n	582	416
VGM001000229_02_n	584	415
VGM001000230_01_n	1131	889
VGM001000230_02_n	1137	890
VGM001000231_01_n	1130	886
VGM001000231_02_n	1130	886
VGM001000232_01_n	1135	886
VGM001000232_02_n	1135	888
VGM001000233_01_n	1131	886
VGM001000233_02_n	1137	885
VGM001000234_01_n	1155	883
VGM001000234_02_n	1161	882
VGM001000235_01_n	1140	885
VGM001000235_02_n	1142	889
VGM001000236_01_n	1144	893
VGM001000236_02_n	1135	893
VGM001000237_01_n	1117	892
VGM001000237_02_n	1106	902
VGM001000238_01_n	1145	879
VGM001000238_02_n	1131	877
VGM001000239_01_n	1148	890
VGM001000239_02_n	1151	889
VGM001000240_01_n	1148	885
VGM001000240_02_n	1148	888
VGM001000241_01_n	1145	886
VGM001000241_02_n	1142	889
VGM001000242_01_n	582	456
VGM001000242_02_n	573	452
VGM001000243_01_n	1142	879
VGM001000243_02_n	1147	888
VGM001000244_01_n	1149	909
VGM001000244_02_n	1138	918
VGM001000245_01_n	906	573
VGM001000245_02_n	900	575
VGM001000246_01_n	1155	896
VGM001000246_02_n	1151	890
VGM001000247_01_n	1149	883
VGM001000247_02_n	1149	879
VGM001000248_01_n	1151	886
VGM001000248_02_n	1152	879
VGM001000249_01_n	1141	886
VGM001000249_02_n	1138	883
VGM001000250_01_n	581	886
VGM001000250_02_n	580	886
VGM001000251_01_n	572	453
VGM001000251_02_n	572	451
VGM001000252_01_n	1130	890
VGM001000252_02_n	1142	892
VGM001000253_01_n	1135	890
VGM001000253_02_n	1140	893
VGM001000254_01_n	609	893
VGM001000254_02_n	602	892
VGM001000255_01_n	592	395
VGM001000255_02_n	595	396
VGM001000256_01_n	1119	889
VGM001000256_02_n	1140	897
VGM001000257_01_n	909	616
VGM001000257_02_n	901	608
VGM001000258_01_n	1151	879
VGM001000258_02_n	1156	878
VGM001000259_01_n	1140	886
VGM001000259_02_n	1135	882
VGM001000260_01_n	1110	883
VGM001000260_02_n	1112	900
VGM001000261_01_n	1138	883
VGM001000261_02_n	1134	879
VGM001000262_01_n	1138	895
VGM001000262_02_n	1140	890
VGM001000263_01_n	571	879
VGM001000263_02_n	573	879
VGM001000264_01_n	1123	879
VGM001000264_02_n	1137	886
VGM001000265_01_n	590	397
VGM001000265_02_n	585	393
VGM001000266_01_n	1131	902
VGM001000266_02_n	1137	897
VGM001000267_01_n	972	556
VGM001000267_02_n	976	564
VGM001000268_01_n	1129	888
VGM001000268_02_n	1135	893
VGM001000269_01_n	1148	900
VGM001000269_02_n	1145	902
VGM001000270_01_n	1144	900
VGM001000270_02_n	1125	894
VGM001000271_01_n	1144	897
VGM001000271_02_n	1154	900
VGM001000272_01_n	1144	897
VGM001000272_02_n	1140	899
VGM001000273_01_n	592	892
VGM001000273_02_n	602	896
VGM001000274_01_n	1140	897
VGM001000274_02_n	1154	907
VGM001000275_01_n	1144	899
VGM001000275_02_n	1144	899
VGM001000276_01_n	1145	892
VGM001000276_02_n	1142	895
VGM001000277_01_n	1149	895
VGM001000277_02_n	1141	888
VGM001000278_01_n	1147	890
VGM001000278_02_n	1148	899
VGM001000279_01_n	1161	903
VGM001000279_02_n	1147	903
VGM001000280_01_n	589	886
VGM001000280_02_n	585	888
VGM001000281_01_n	1135	885
VGM001000281_02_n	1134	893
VGM001000282_01_n	1128	888
VGM001000282_02_n	1135	883
VGM001000283_01_n	1137	897
VGM001000283_02_n	1135	890
VGM001000284_01_n	1119	879
VGM001000284_02_n	1124	889
