file	width	height
VGM001000090_01_n	2782	2188
VGM001000090_02_n	2782	2164
VGM001000091_01_n	1438	2182
VGM001000091_02_n	1444	2188
VGM001000092_01_n	1222	937
VGM001000092_02_n	1258	949
VGM001000093_01_n	2698	2530
VGM001000093_02_n	2704	2536
VGM001000094_01_n	3387	2524
VGM001000094_02_n	3351	2530
VGM001000095_01_n	2578	2512
VGM001000095_02_n	2590	2512
VGM001000096_01_n	1444	2164
VGM001000096_02_n	1438	2164
VGM001000097_01_n	2662	2512
VGM001000097_02_n	2674	2542
VGM001000098_01_n	2494	2028
VGM001000098_02_n	2464	1976
VGM001000099_01_n	2488	1987
VGM001000099_02_n	2476	1977
VGM001000100_01_n	2482	2020
VGM001000100_02_n	2448	1984
VGM001000101_01_n	1444	2146
VGM001000101_02_n	1432	2146
VGM001000102_01_n	1246	1922
VGM001000102_02_n	1288	1949
VGM001000103_01_n	1264	1949
VGM001000103_02_n	1276	1979
VGM001000104_01_n	1252	1961
VGM001000104_02_n	1242	1947
VGM001000105_01_n	2770	2176
VGM001000105_02_n	2782	2170
VGM001000106_01_n	2758	2194
VGM001000106_02_n	2770	2194
VGM001000107_01_n	1432	2172
VGM001000107_02_n	1432	2176
VGM001000109_01_n	3286	2512
VGM001000109_02_n	3286	2530
VGM001000110_01_n	3276	2554
VGM001000110_02_n	3300	2568
VGM001000111_01_n	1684	2518
VGM001000111_02_n	1684	2512
VGM001000112_01_n	1366	1698
VGM001000112_02_n	1342	1680
VGM001000113_01_n	1420	2188
VGM001000113_02_n	1420	2206
VGM001000114_01_n	3286	2542
VGM001000114_02_n	3286	2542
VGM001000115_01_n	3275	2552
VGM001000115_02_n	3321	2584
VGM001000116_01_n	3292	2584
VGM001000116_02_n	3286	2584
VGM001000117_01_n	1468	2170
VGM001000117_02_n	1450	2164
VGM001000118_01_n	3202	2524
VGM001000118_02_n	3226	2518
VGM001000119_01_n	1720	2542
VGM001000119_02_n	1696	2530
VGM001000120_01_n	3316	2560
VGM001000120_02_n	3310	2536
VGM001000121_01_n	3298	2584
VGM001000121_02_n	3280	2566
VGM001000122_01_n	1906	2746
VGM001000122_02_n	1936	2740
VGM001000123_01_n	1888	2716
VGM001000123_02_n	1882	2734
VGM001000124_01_n	1876	2734
VGM001000124_02_n	1888	2734
VGM001000125_01_n	1912	2752
VGM001000125_02_n	1894	2746
VGM001000126_01_n	1900	2710
VGM001000126_02_n	1906	2698
VGM001000127_01_n	3992	2522
VGM001000127_02_n	4002	2548
VGM001000128_01_n	3447	2704
VGM001000128_02_n	3453	2680
VGM001000129_01_n	1894	2728
VGM001000129_02_n	1865	2693
VGM001000130_01_n	1906	2752
VGM001000130_02_n	1906	2770
VGM001000131_01_n	1882	2758
VGM001000131_02_n	1900	2728
VGM001000132_01_n	1936	2740
VGM001000132_02_n	1942	2734
VGM001000133_01_n	1918	2758
VGM001000133_02_n	1924	2770
VGM001000134_01_n	1936	2782
VGM001000134_02_n	1900	2752
VGM001000135_01_n	1900	2776
VGM001000135_02_n	1894	2758
VGM001000136_01_n	3405	2566
VGM001000136_02_n	3417	2566
VGM001000137_01_n	1876	2746
VGM001000137_02_n	1888	2752
VGM001000138_01_n	3297	2497
VGM001000138_02_n	3283	2494
VGM001000139_01_n	2961	2388
VGM001000139_02_n	2954	2411
VGM001000140_01_n	3024	2403
VGM001000140_02_n	3074	2427
VGM001000141_01_n	3010	2134
VGM001000141_02_n	3016	2152
VGM001000142_01_n	2966	1954
VGM001000142_02_n	2979	1954
VGM001000143_01_n	3205	2519
VGM001000143_02_n	3198	2505
VGM001000144_01_n	1696	2530
VGM001000144_02_n	1655	2514
VGM001000145_01_n	3291	2536
VGM001000145_02_n	3304	2590
VGM001000146_01_n	3263	2528
VGM001000146_02_n	3334	2578
VGM001000147_01_n	3242	2498
VGM001000147_02_n	3298	2572
VGM001000148_01_n	3284	2556
VGM001000148_02_n	3275	2544
VGM001000149_01_n	3266	2553
VGM001000149_02_n	3262	2527
VGM001000150_01_n	3275	2558
VGM001000150_02_n	3263	2537
VGM001000151_01_n	3316	2602
VGM001000151_02_n	3352	2584
VGM001000152_01_n	1720	2572
VGM001000152_02_n	1720	2566
VGM001000153_01_n	1301	1629
VGM001000153_02_n	1301	1640
VGM001000154_01_n	3277	2711
VGM001000154_02_n	3341	2721
VGM001000155_01_n	3245	2550
VGM001000155_02_n	3286	2590
VGM001000156_01_n	1690	2596
VGM001000156_02_n	1720	2566
VGM001000157_01_n	3304	2572
VGM001000157_02_n	3298	2566
VGM001000158_01_n	3268	2650
VGM001000158_02_n	3250	2632
VGM001000159_01_n	1720	2620
VGM001000159_02_n	1720	2608
VGM001000160_01_n	3339	2596
VGM001000160_02_n	3327	2620
VGM001000161_01_n	3334	2638
VGM001000161_02_n	3310	2614
VGM001000162_01_n	3322	2644
VGM001000162_02_n	3322	2626
VGM001000163_01_n	1678	2494
VGM001000163_02_n	1690	2506
VGM001000164_01_n	2488	1624
VGM001000164_02_n	2492	1636
VGM001000165_01_n	3291	2560
VGM001000165_02_n	3274	2590
VGM001000166_01_n	3292	2530
VGM001000166_02_n	3298	2584
VGM001000167_01_n	3322	2584
VGM001000167_02_n	3333	2596
VGM001000168_01_n	3272	2541
VGM001000168_02_n	3286	2590
VGM001000169_01_n	3273	2614
VGM001000169_02_n	3274	2620
VGM001000170_01_n	3286	2602
VGM001000170_02_n	3270	2556
VGM001000171_01_n	3310	2584
VGM001000171_02_n	3304	2572
VGM001000172_01_n	3351	2602
VGM001000172_02_n	3280	2536
VGM001000173_01_n	3316	2548
VGM001000173_02_n	3280	2530
VGM001000174_01_n	3286	2566
VGM001000174_02_n	3298	2572
VGM001000175_01_n	1684	2512
VGM001000175_02_n	1684	2512
VGM001000176_01_n	1342	1662
VGM001000176_02_n	1312	1662
VGM001000177_01_n	1696	2518
VGM001000177_02_n	1702	2512
VGM001000178_01_n	2554	1733
VGM001000178_02_n	2524	1727
VGM001000179_01_n	1720	2572
VGM001000179_02_n	1690	2548
VGM001000180_01_n	3208	2542
VGM001000180_02_n	3202	2512
VGM001000181_01_n	3220	2550
VGM001000181_02_n	3220	2536
VGM001000182_01_n	3286	2566
VGM001000182_02_n	3327	2578
VGM001000183_01_n	3220	2536
VGM001000183_02_n	3226	2566
VGM001000184_01_n	2848	2254
VGM001000184_02_n	2842	2266
VGM001000185_01_n	3262	2572
VGM001000185_02_n	3256	2572
VGM001000186_01_n	3256	2572
VGM001000186_02_n	3261	2548
VGM001000187_01_n	1702	2578
VGM001000187_02_n	1660	2530
VGM001000188_01_n	3238	2572
VGM001000188_02_n	3274	2584
VGM001000189_01_n	3238	2566
VGM001000189_02_n	3244	2572
VGM001000190_01_n	3244	2572
VGM001000190_02_n	3226	2566
